index,scheme,model,split,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R_mean,R_std,n_samples
48,S6_LC_DOM_FE_W_CONS,LightGBM,test,18.615825650315827,0.1601998946375893,26.083490487648675,0.1359489418556759,0.709234234489109,0.0025631193505605,3290
49,S6_LC_DOM_FE_W_CONS,LightGBM,train,11.883481903681629,0.0385896057007961,20.441942244730424,0.0494772041415262,0.8528606212572568,0.0007972355068528,27802
50,S6_LC_DOM_FE_W_CONS,LightGBM,val,20.54049399055252,0.1582123071537258,28.644965095058893,0.1259940197095149,0.6427106322908123,0.004734420868525,3575
30,S6_LC_DOM_FE_W_CONS,MLP,test,19.08442479754895,0.275226822866279,26.460129128169537,0.2106826362565054,0.6912947106766657,0.009270346206182,3290
31,S6_LC_DOM_FE_W_CONS,MLP,train,20.04763969355309,0.3905777954705234,28.80165791789955,0.4895680957516377,0.6508698517495227,0.0127082033959185,27802
32,S6_LC_DOM_FE_W_CONS,MLP,val,20.645920161711864,0.1395981757878321,28.84554931914633,0.2526991035435089,0.6362264810345576,0.0074678293577141,3575
33,S6_LC_DOM_FE_W_CONS,TabTransformer,test,19.56602317100842,0.2693869447609094,27.04432263992446,0.2280191084457613,0.6815324477162261,0.0097298064902294,3290
34,S6_LC_DOM_FE_W_CONS,TabTransformer,train,20.90116127595894,0.1345805147509401,29.779249939772956,0.142802973847767,0.622702435895898,0.0048985775385122,27802
35,S6_LC_DOM_FE_W_CONS,TabTransformer,val,20.70774991175512,0.0459152237681438,29.061109982108377,0.1198176585898443,0.6295485049530113,0.003261472018789,3575
51,S6_LC_DOM_FE_W_CONS,XGBoost,test,18.41315250447273,0.0354653486791215,25.892908638014934,0.0662537165662971,0.7168549171147491,0.0011724899235986,3290
52,S6_LC_DOM_FE_W_CONS,XGBoost,train,9.989621418408474,0.0483190116613691,18.320295676684413,0.0799311988654134,0.8871239676734483,0.0011974082783981,27802
53,S6_LC_DOM_FE_W_CONS,XGBoost,val,20.712184641240928,0.0701940482851238,28.57549317353002,0.1110370695883484,0.6422890445746843,0.0032701498237607,3575
54,S7_LC_DOM_FE_W_CONS_NV,CatBoost,test,19.566975960109662,0.1434545970340031,27.934226380130468,0.1833262725956134,0.6676708133872765,0.0090508756286888,3085
55,S7_LC_DOM_FE_W_CONS_NV,CatBoost,train,15.252632747033816,1.744443381403812,23.223081624349188,2.0036426285419537,0.7879406455816079,0.042474058678884,26354
56,S7_LC_DOM_FE_W_CONS_NV,CatBoost,val,21.55000036888127,0.3028435092125977,30.24426748515762,0.2471868467362142,0.6574636762270024,0.0048020598425047,2913
57,S7_LC_DOM_FE_W_CONS_NV,LightGBM,test,20.302646155752416,0.1615942606091946,28.85856400623885,0.1640188045715002,0.6360829578538493,0.0056154897854992,3085
58,S7_LC_DOM_FE_W_CONS_NV,LightGBM,train,11.542742341694703,0.1090603494948925,19.802129143572795,0.0798829882797203,0.8558747784295146,0.0014737966207955,26354
59,S7_LC_DOM_FE_W_CONS_NV,LightGBM,val,21.390189837148537,0.111267838642824,29.99500219600352,0.1582514473095615,0.6667114682986081,0.0048178600354124,2913
36,S7_LC_DOM_FE_W_CONS_NV,MLP,test,20.299715166076464,0.057087996023335,28.815905949034143,0.2739726466040244,0.6529779684045117,0.002296738878852,3085
