scheme,scheme_desc,model,repeat,split,n,MAE,RMSE,R
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,CatBoost,3,val,3575,20.070446241966245,28.11869490640271,0.6649782584223384
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,CatBoost,3,test,3290,18.100612040543066,25.512474593997457,0.7337115949944727
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,LightGBM,3,train,27802,11.893604278182568,20.476812631034736,0.852228986710065
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,LightGBM,3,val,3575,20.714214817645846,28.788043555820813,0.6373874869645305
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,LightGBM,3,test,3290,18.701304065441462,26.16994682492106,0.7078695702954418
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,XGBoost,3,train,27802,10.028957016739886,18.36666971421882,0.8864167108202788
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,XGBoost,3,val,3575,20.6327976539645,28.462431352345167,0.6456765891673658
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,XGBoost,3,test,3290,18.409066118458753,25.817349202894157,0.7182065905088966
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,CatBoost,1,train,26354,17.215146271512932,25.477571264634065,0.7399864734600496
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,CatBoost,1,val,2913,21.878913953551987,30.5286174468193,0.6519751594982789
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,CatBoost,1,test,3085,19.40216120705371,27.724048342490395,0.6781215439172523
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,LightGBM,1,train,26354,11.45328197597937,19.736184015310013,0.8571468095879516
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,LightGBM,1,val,2913,21.338511157606078,30.003517880880224,0.6663080773806092
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,LightGBM,1,test,3085,20.415570131486326,29.01043326814671,0.6318858893162104
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,XGBoost,1,train,26354,9.473625082429045,17.415506771577594,0.8942525131816145
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,XGBoost,1,val,2913,21.689781569664937,30.289658783393868,0.6607195314990448
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,XGBoost,1,test,3085,20.372632477588606,28.783265589799985,0.6390748386327586
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,CatBoost,2,train,26354,14.66442586788924,22.54588250110499,0.803010223979788
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,CatBoost,2,val,2913,21.28270349955014,30.08064112496217,0.6608912477113094
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,CatBoost,2,test,3085,19.663746285203885,28.061165263804263,0.6625163225772523
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,LightGBM,2,train,26354,11.510714514830207,19.779247237334285,0.8562178078076105
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,LightGBM,2,val,2913,21.314159075924398,29.83266483905149,0.6717183413970169
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,LightGBM,2,test,3085,20.374826450359645,28.880629190176265,0.6339010497040842
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,XGBoost,2,train,26354,9.75313781437727,17.714411259967054,0.8896270699214422
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,XGBoost,2,val,2913,21.5540196805877,30.38727499511152,0.6559735593279133
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,XGBoost,2,test,3085,20.123741153338727,28.572542733263223,0.6468004240115035
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,CatBoost,3,train,26354,13.878326101699272,21.6457911073085,0.8208252393049861
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,CatBoost,3,val,2913,21.488383653541682,30.123543883691394,0.6595246214714189
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,CatBoost,3,test,3085,19.6350203880714,28.017465534096747,0.6623745736673248
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,LightGBM,3,train,26354,11.66423053427453,19.890956178074084,0.8542597178929818
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,LightGBM,3,val,2913,21.51789927791513,30.148823868078853,0.6621079861181979
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,LightGBM,3,test,3085,20.117541885411274,28.684629560393592,0.6424619345412533
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,XGBoost,3,train,26354,9.617426688322038,17.604180523924995,0.8916639341734353
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,XGBoost,3,val,2913,21.3428269631852,30.092048991965505,0.6661648835315667
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,XGBoost,3,test,3085,20.117926011680453,28.52267651171744,0.647953021738525
